"County","Year","Outcome","Covariate_1","Covariate_2","Covariate_3","Covariate_4","Period","Unit"
"Orange",2020,39.9,35.6,10.9,57.1,98.3,10,39
"Orange",2021,36.5,35.7,10.1,55.1,99.9,11,39
"Orange",2022,39.2,35.8,9.7,57.1,100,12,39
"Orange",2023,34.7,33.5,10.6,55.6,100,13,39
"San Diego",2011,36,29.9,17.5,56.8,95.5,1,40
"San Diego",2012,37.1,33.3,16.1,56.4,93.5,2,40
"San Diego",2013,37.3,33.6,16.5,53,95.4,3,40
"San Diego",2014,38.5,33.2,15.2,50.4,94.2,4,40
"San Diego",2015,40.6,33.3,15.3,51.7,94.2,5,40
"San Diego",2016,42.6,36.3,17.6,54.9,94.6,6,40
"San Diego",2017,36.7,34.6,17.1,57.4,93.9,7,40
"San Diego",2018,39.7,34.9,17,54.1,92.9,8,40
"San Diego",2019,41.2,34.3,14.4,56.5,95.4,9,40
"San Diego",2020,38.5,34.4,11,54.6,94.6,10,40
"San Diego",2021,36.6,34.6,12.2,55,97,11,40
"San Diego",2022,35.7,34.7,12.8,55.4,96,12,40
"San Diego",2023,36.4,34,9.9,56.7,95.8,13,40
"San Bernadino",2011,50.5,47.3,14.2,48,84.6,1,41
"San Bernadino",2012,48.3,49.5,13.6,48.4,85.8,2,41
"San Bernadino",2013,53.1,49.7,15.7,47.7,89.4,3,41
"San Bernadino",2014,50.8,50.8,16.3,59.3,82.3,4,41
"San Bernadino",2015,47.6,50.1,14.5,57.1,83.1,5,41
"San Bernadino",2016,51.8,48.4,12.1,50,86.7,6,41
"San Bernadino",2017,46.2,53.6,14.7,50.9,82,7,41
"San Bernadino",2018,47.1,54.1,14.9,49.2,83.8,8,41
"San Bernadino",2019,50.6,51.3,11.6,49,84.3,9,41
"San Bernadino",2020,48.6,51.5,11.9,56.3,88.2,10,41
"San Bernadino",2021,50.3,51.7,10,46.9,85.3,11,41
"San Bernadino",2022,50.9,51.7,15,50,85.8,12,41
"San Bernadino",2023,52,55.7,13.7,49.7,86.2,13,41
"Riverside",2011,44.6,42.3,17.7,44.3,87.2,1,42
"Riverside",2012,47.2,45.6,16.2,51.9,91,2,42
"Riverside",2013,41.5,45.9,10.7,49.7,86,3,42
"Riverside",2014,45.1,46.7,21.7,46.6,87.2,4,42
"Riverside",2015,51.1,46.6,15.5,49.1,92.5,5,42
"Riverside",2016,49,46.3,14,57.6,92.1,6,42
"Riverside",2017,46.4,47.6,18.1,51.7,82.5,7,42
"Riverside",2018,48.8,47.8,15.1,55.4,84.6,8,42
"Riverside",2019,49.4,47.2,15.5,50.2,80,9,42
"Riverside",2020,47.8,47.3,16,47,83.3,10,42
"Riverside",2021,49,47.4,13.8,48.5,86.4,11,42
"Riverside",2022,51.6,47.5,13.7,48.8,86.7,12,42
"Riverside",2023,49.7,51.6,11.7,48.5,86.1,13,42
"Imperial",2011,53,79,13.5,40.1,72.6,1,43
"Imperial",2012,62,82.5,11.7,55.7,61.9,2,43
"Imperial",2013,64.7,82.5,4.8,46.4,68.9,3,43
"Imperial",2014,53.3,82.5,16.7,53.1,80,4,43
"Imperial",2015,57.4,83.9,16.4,51.6,63.6,5,43
"Imperial",2016,58.6,84.2,8.5,41.2,76.3,6,43
"Imperial",2017,58.4,85.9,6.7,41.2,72.4,7,43
"Imperial",2018,59.1,86.3,14.6,36.7,73.4,8,43
"Imperial",2019,59.2,82.8,17.8,43.2,68.3,9,43
"Imperial",2020,49.5,82.8,10.6,41.3,55.3,10,43
"Imperial",2021,55.9,83.2,13.9,39.7,66.6,11,43
"Imperial",2022,59.4,83.2,13.7,32.7,73.3,12,43
"Imperial",2023,55.3,87.4,7.3,41.2,75.9,13,43
